lgaNameClean,lgaIdNSW
City of Canada Bay,11520
City of Lithgow,14870
City Of Parramatta,16260
City of Parramatta,16260
Council of the City of Sydney,17200
Greater Hume,13340
LAKE MACQUARIE CITY COUNCIL,14650
Lane Cove Municipal,14700
Mosman Municipal,15350
Nambucca,15700
Strathfield Municipal,17100
Sutherland,17150
The of the Municipality of Hunters Hill,14100
The of the Municipality of Kiama,14400
The of the Shire of Hornsby,14000
The Hills,17420
Unincorporated Far West,19399
Upper Hunter,17620
Upper Lachlan,17640
Warrumbungle,18020
Woollahra Municipal,18500
